DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9,param_1,param_2,param_3,param_4
344_1327766,0.9999960660934448,0.9995886087417603,0.9705840945243835,0.8398895859718323,0.6755363345146179,0.4655297100543976,0.23839718103408813,0.10285188257694244,0.007106035947799683,0.006578497588634491,-2.2888433874635403,0.996108812744495,3.925357965910903,-0.12465956637036096
344_1240220,0.9999960660934448,1.0143959522247314,1.0033844709396362,0.9377702474594116,0.7821882963180542,0.4978351593017578,0.15329590439796448,0.05542967468500137,0.008027227595448494,0.007751127239316702,-4.0935879616209885,0.9972185823520614,6.806775247757434,-0.0267511689120121
344_949161,0.9999960660934448,1.0017439126968384,0.9957534074783325,0.9521849155426025,0.7891978025436401,0.5005218386650085,0.15940448641777039,0.059268105775117874,0.007749357260763645,0.007073002867400646,-4.181404135257176,0.993725629892663,7.005525026098055,-0.022904668229983098
344_908125,0.9999960660934448,1.0141593217849731,1.0155260562896729,1.005926489830017,0.867533802986145,0.6736148595809937,0.5252927541732788,0.2138417661190033,0.004972606431692839,0.006006384268403053,-1.8617934280858066,1.0118134308149613,5.015641183820277,-0.19947297189095747
344_906823,0.9999960660934448,1.0169589519500732,0.9924478530883789,1.0085891485214233,0.8633695840835571,0.6050240397453308,0.17740994691848755,0.056475330144166946,0.01115414034575224,0.007256621960550547,-4.914541457640244,0.9997802123876582,8.889124606791913,-0.009898231441378495
344_908134,0.9999960660934448,1.019609808921814,1.0548452138900757,0.993301510810852,0.811813235282898,0.6667024493217468,0.28472304344177246,0.122489333152771,0.011973985470831394,0.007642609067261219,-3.0908708035071606,1.0186311774877137,6.081719911536908,-0.06253638572370956
344_687561,0.9999960660934448,1.0163768529891968,1.0121406316757202,1.026358962059021,1.013352394104004,0.7502709031105042,0.6097115278244019,0.19588512182235718,0.008111135102808475,0.006875844206660986,-2.762840775306191,1.0147775373603862,7.4755079634057955,-0.09793071267075373
344_909696,0.9999960660934448,1.0008604526519775,0.9994488954544067,0.9521849155426025,0.7891978025436401,0.5005218386650085,0.20826905965805054,0.04920470342040062,0.007708373013883829,0.010775807313621044,-3.8153781596712095,0.9967576183097789,6.500136257434195,-0.03276552298704931
344_907286,0.9999960660934448,1.0026111602783203,0.9793286323547363,0.9304447770118713,0.7247708439826965,0.45786216855049133,0.1431255340576172,0.0546603798866272,0.009452389553189278,0.005637659691274166,-3.8522344413722105,0.9916421262324082,6.152799977305592,-0.03252938784676981
344_907272,0.9999960660934448,1.0096365213394165,0.9171236157417297,0.7364225387573242,0.5801745057106018,0.4506925344467163,0.1536015123128891,0.05084550753235817,0.008203811943531036,0.007751127239316702,-1.9767435603480963,0.9994360984067606,3.1193196107017953,-0.17910785414906613
344_909255,0.9999960660934448,1.008758783340454,0.9922758340835571,0.9652783870697021,0.8019737601280212,0.548295259475708,0.17410267889499664,0.05542967468500137,0.013213788159191608,0.007751127239316702,-4.164136082996509,0.9939794613740423,7.22730468686445,-0.02427251196681622
136_1290922,0.9999999403953552,1.0002926588058472,0.9542057514190674,0.8249540328979492,0.6519327163696289,0.4618111550807953,0.3308979868888855,0.21052221953868866,0.07014603912830353,0.053761281073093414,-1.5828701193116193,1.0064973753492654,2.9845734119019305,-0.1592383105358682
136_905973,0.9999999403953552,0.9828877449035645,0.9632117748260498,0.854955792427063,0.8023006916046143,0.6215267777442932,0.4300912022590637,0.16331838071346283,0.04497174546122551,0.035652946680784225,-1.8375596905682166,0.9708189499602295,4.3933329902648515,-0.1590675837066512
136_907045,0.9999999403953552,0.9902359247207642,0.9623826742172241,0.9074094295501709,0.8397795557975769,0.6537542939186096,0.4579821228981018,0.18554425239562988,0.04497174546122551,0.03581527993083,-2.1134563782753055,0.974578535030684,5.101035772025409,-0.11637498330128929
136_907287,0.9999999403953552,0.9929444789886475,0.9550348520278931,0.7725004553794861,0.6144538521766663,0.42958372831344604,0.3030070662498474,0.1882963478565216,0.07014603912830353,0.05359894782304764,-1.6704637176867914,1.0075912246538108,2.8530316299310123,-0.14087139119114345
136_910399,0.9999999403953552,1.0002926588058472,0.9542057514190674,0.8249540328979492,0.6519327163696289,0.4618111550807953,0.3308979868888855,0.21052221953868866,0.07014603912830353,0.053761281073093414,-1.5828701193116193,1.0064973753492654,2.9845734119019305,-0.1592383105358682
136_1298144,0.9999999403953552,0.9929444789886475,0.9550348520278931,0.7725004553794861,0.6144538521766663,0.42958372831344604,0.3030070662498474,0.1882963478565216,0.07014603912830353,0.05359894782304764,-1.6704637176867914,1.0075912246538108,2.8530316299310123,-0.14087139119114345
136_909709,0.9999999403953552,1.0002926588058472,0.9542057514190674,0.8249540328979492,0.6519327163696289,0.4618111550807953,0.3308979868888855,0.21052221953868866,0.07014603912830353,0.053761281073093414,-1.5828701193116193,1.0064973753492654,2.9845734119019305,-0.1592383105358682
136_1290797,0.9999999403953552,1.0002926588058472,0.9542057514190674,0.8249540328979492,0.6519327163696289,0.4618111550807953,0.3308979868888855,0.21052221953868866,0.07014603912830353,0.053761281073093414,-1.5828701193116193,1.0064973753492654,2.9845734119019305,-0.1592383105358682
136_907312,0.9999999403953552,0.9929444789886475,0.9550348520278931,0.7725004553794861,0.6144538521766663,0.42958372831344604,0.3030070662498474,0.1882963478565216,0.07014603912830353,0.05359894782304764,-1.6704637176867914,1.0075912246538108,2.8530316299310123,-0.14087139119114345
136_724872,0.9999999403953552,0.9929444789886475,0.9550348520278931,0.7725004553794861,0.6144538521766663,0.42958372831344604,0.3030070662498474,0.1882963478565216,0.07014603912830353,0.05359894782304764,-1.6704637176867914,1.0075912246538108,2.8530316299310123,-0.14087139119114345
