DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
170_907059,1.0,0.956157498,0.964256979,0.993126964,0.8913062390000001,0.5202447370000001,0.101158947,0.055203399000000014,0.053282427,0.070095545,,,,
170_753620,1.0,1.008694707,1.039743443,0.979275516,1.010148302,0.932895036,0.598519968,0.624781271,0.010212034,0.003519059,,,,
170_1331048,1.0,0.965063102,0.966701839,0.877016343,0.279981772,0.257140667,0.248756466,0.130070835,0.005188961,0.002073724,,,,
170_949170,1.0,0.998891013,0.923140519,0.972579149,0.998697805,0.91490643,0.812054189,0.374718359,0.047025478,0.008211890999999999,,,,
170_1240158,1.0,1.040559249,0.979819679,0.945322033,0.504336682,0.008427511,0.002859187,0.004916992,0.001264387,0.001930724,,,,
170_1240205,1.0,0.996422691,0.885487323,0.967281542,1.066779422,1.055779189,1.1106908359999998,1.195738646,0.045623853,0.053639046,,,,
170_753554,1.0,1.005753743,0.973929172,1.001178034,0.8314140609999999,0.625247208,0.08348335700000001,0.017629557,0.004157216,0.002763705,,,,
331_1240191,1.0,0.997678325,0.950195604,0.7275679290000001,0.768559833,0.538554364,0.463721697,0.252828174,0.093575635,0.098412069,,,,
331_909731,1.0,1.018603974,1.00335321,0.987921877,0.938241196,0.644054736,0.427982629,0.282075808,0.171553915,0.139629232,,,,
331_906836,1.0,0.965550849,0.926863757,0.8611385509999999,0.597416719,0.295570738,0.158529298,0.074653051,0.049900322,0.019831433,,,,
331_906800,1.0,0.953552997,0.762109424,0.7084819840000001,0.419469789,0.20127598,0.054637367,0.015199768,0.007539255,0.01066733,,,,
331_909252,1.0,0.964617535,0.8298755609999999,0.7006532259999999,0.425069401,0.262396184,0.15089028,0.072188414,0.046399011,0.031012404,,,,
331_1240192,1.0,1.004340759,0.911887934,0.903010133,0.7835953370000001,0.591658314,0.385262974,0.426453908,0.024847454,0.058096042,,,,
331_713899,1.0,0.97547485,0.945826231,0.886458077,0.707213491,0.499599515,0.143960649,0.051496235,0.047284876,0.045983828,,,,
276_1247871,1.0,0.993723394,0.7969992090000001,0.577257712,0.15243382800000002,0.016785809,0.008356188,0.0062251680000000005,0.0060984590000000005,0.00931457,,,,
276_909751,1.0,1.034503682,0.993316543,1.007017254,0.85921342,0.689646132,0.436113907,0.224835636,0.045458749000000014,0.015580488,,,,
276_907278,1.0,0.997082836,0.883071772,0.775665047,0.437564228,0.020505159,0.009187085,0.024916567,0.008448302,0.013509073,,,,
276_688006,1.0,0.983938794,0.935295786,0.918104372,0.8231255009999999,0.61418176,0.408537699,0.029930558,0.007357896999999999,0.008015828000000001,,,,
276_753545,1.0,0.988506794,0.964275484,0.973489807,0.826885083,0.5878586339999999,0.251329371,0.14590822,0.056102205,0.019808251,,,,
276_910911,1.0,0.954646196,0.95408689,0.903024225,0.8156671,0.6598062379999999,0.687109643,0.418080671,0.061658035,0.014953178,,,,
