DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
201_1295741,1.0,1.029387356,0.83975099,0.8845015209999999,0.755134269,0.447895324,0.369457343,0.276136152,0.212182497,0.191625064,-3.0414706977122767,0.9689163840487582,4.66586858570126,0.15590993970347689
201_1240160,1.0,0.991152117,0.915891382,0.494170406,0.15622538,0.180578132,0.07169224,0.057800553,0.019800051000000003,0.043241919,-6.3635580496319015,1.0013071451332245,5.667403277128283,0.053728368037810406
201_909704,1.0,0.980728093,0.877737436,0.73817709,0.329883578,0.15050491300000002,0.131352625,0.039926848,0.034033836,0.030330458,-5.020137453794704,0.9730585520377728,5.4011904562959705,0.03065226425591159
201_910947,1.0,1.016442338,0.960818131,1.012595698,1.005401962,0.70135984,0.364841111,0.069858527,0.018671902,0.020417939,-4.4601748238272,1.0048203966010942,9.312092927428893,-0.008813117053090154
201_907041,1.0,0.986173941,0.931459185,0.574225965,0.07434342099999999,0.206206792,0.060355929,0.069733513,0.047411247,0.025381429,-123.10675180782779,0.9725443753333332,112.25191626505459,0.08057205516666492
201_1298222,1.0,0.979028284,0.727997665,0.53210623,0.192666944,0.227246676,0.065681377,0.068189167,0.045351368,0.03986281,-3.479003428636413,1.003618008718568,3.058591020616288,0.003283573615337461
201_908126,1.0,1.029225631,0.991153199,0.713734485,0.618724088,0.367164909,0.283720821,0.235662407,0.206393221,0.191276698,-3.1026444952070635,1.0242271513872705,3.663002746020005,0.1476719099160599
201_910401,1.0,0.972525299,0.962162229,0.935139698,1.020983674,0.8906763409999999,0.785059848,0.541537357,0.00911398,0.005949937,-3.033909775555973,0.9607929935439,12.661567601953239,-0.0908176858259282
201_905938,1.0,1.026827074,0.970967765,1.016196997,0.872132751,0.388364198,0.18722901,0.135403417,0.114823599,0.125155598,-7.465808391030046,1.0053373845791098,11.304591863235451,0.12517725231891835
201_1330984,1.0,0.991366898,0.932407437,0.822865563,0.482525118,0.269245422,0.152094249,0.118600889,0.120598811,0.102190654,-4.836999600928849,0.9844384147712107,5.688543189993753,0.09625617557951333
201_1240145,1.0,0.972675046,0.877942144,0.461994437,0.259897579,0.129547138,0.047035542,0.08476277199999999,0.082236561,0.072927509,-5.467527680072024,0.9939926117796356,4.813627067189394,0.06441133650725274
201_1331036,1.0,0.996566751,1.021170328,0.935756945,0.4077711120000001,0.021895477000000003,0.012163378999999998,0.007165313,0.012869951,0.007507442,-10.072157746877807,1.000890092737497,11.908637506227667,0.003218538345524411
201_907044,1.0,1.008476358,0.930380877,0.96428675,0.8520869809999999,0.554072446,0.499706769,0.409778685,0.054168464000000006,0.052298134,-0.6767776197211011,1.0008881973327308,3.1755805394975365,-0.4736639295818011
201_909252,1.0,0.996998565,0.999764963,1.029060365,0.968589113,0.867011392,0.48342871,0.227678189,0.12871042800000002,0.113848822,-4.583013542613164,1.0033469030850666,10.60321039333004,0.1037675584288543
201_753538,1.0,1.036442819,0.981310646,0.7290027590000001,0.5202420529999999,0.331087151,0.100868168,0.029277706,0.02662287,0.022430877,-3.022875827817108,1.02306243181084,3.8262624249404897,-0.05723838520410057
201_909696,1.0,1.03313591,1.030213834,0.965118347,0.783195651,0.420271761,0.113691089,0.069678434,0.027478863,0.074252032,-5.245192580120802,1.0137229753276842,8.000127148480843,0.0328290089671482
201_1330981,1.0,0.971878752,0.923925629,1.067957501,1.006487605,0.908570477,0.761258601,0.52309972,0.156850627,0.121586266,-2.33157480078348,0.9897249618896794,8.932532334911537,0.003685162350115352
201_906871,1.0,0.994441272,0.920299269,1.1091096459999998,0.72807152,0.521105613,0.168102284,0.282533175,0.070577764,0.033157663,-4.0766226287566285,1.005626002160124,6.5384807889693946,0.06682944109642977
201_753554,1.0,1.032339932,1.014615394,0.922873004,0.545850822,0.505708552,0.498609642,0.238680828,0.110382004,0.121819391,-1.4769751438538916,1.0405368212903292,2.8081193028247644,-0.10804562967373016
201_924102,1.0,0.951222544,0.7910537879999999,0.416822665,0.195388909,0.225106429,0.160770017,0.079371161,0.058171975999999986,0.057901348,-4.619815533087894,0.9917711225178574,3.8155139377014557,0.07379946909054119
235_906793,1.0,1.005803343,0.931714849,0.857046614,0.6821171490000001,0.308905257,0.080447702,0.014321806,0.014044183,0.010504495,-4.697838833891897,0.969314539706276,6.751459055731666,-0.01670745466343189
235_907320,1.0,1.045567968,0.951601129,0.8696781920000001,0.512644014,0.4554360120000001,0.031626347,0.018715592,0.016080788000000002,0.016558092,-3.3175721735355403,1.0110145103205121,4.584432616291855,-0.060114325244200316
235_924111,1.0,1.043842588,0.954462193,0.940952977,0.967162327,0.911805597,0.781584273,0.518816536,0.01879847,0.009084039,-2.8813334210663712,0.9700126597609527,11.708263793467774,-0.09269745529330647
235_907050,1.0,0.962735069,0.943732942,0.895669424,0.556650076,0.336158764,0.144512575,0.031925993,0.025861795,0.007958529,-3.8178318752702776,0.980214894696564,5.277786611928887,-0.018925542558441918
235_910853,1.0,0.951766974,0.99108191,0.961950909,0.939555944,0.861160472,0.380514662,0.400510634,0.006663319,0.003359466,-2.345546449780916,0.9854415645569145,6.510979014682825,-0.10366784267046816
235_908135,1.0,1.000467291,0.979797077,0.95249099,0.956077948,0.8324838929999999,0.509285795,0.25455778,0.103164795,0.057279428,-3.3239822281869484,0.9850376371775996,8.366924486451824,0.023972216872763654
235_949090,1.0,1.002142942,0.906797911,0.80301172,0.989606442,0.444826,0.186255987,0.017301286000000003,0.006086065,0.003744082,-7.134781819194995,0.9473694109719796,12.195658221697155,0.01907677053899012
235_907275,1.0,0.957528814,0.887723558,0.852646295,0.736516415,0.406514265,0.103693235,0.026058153,0.015518174,0.01280802,-4.6957852259275095,0.9339287517557022,7.4257632936347,-0.013501311200990644
235_1503363,1.0,1.041571454,0.896636942,0.878214609,0.450435106,0.358840793,0.07505561599999999,0.040500891,0.006672447,0.010302194,-3.566106545356621,1.0023682601216577,4.607135650348921,-0.036849625824362166
235_909709,1.0,0.97087981,0.951031983,0.94648658,0.6235879010000001,0.437975822,0.129681662,0.025114233,0.030383294,0.023072021,-3.8312359723635083,0.9820934078449922,5.764246940334536,-0.022012513384801348
235_909716,1.0,1.00489956,1.004143348,0.941448966,0.8611931979999999,0.703451701,0.49972784,0.14074072,0.008937852,0.0079145,-2.4389185511219034,0.9861805135471552,6.040055526504638,-0.12370417476235805
235_1298222,1.0,1.024722959,0.981776444,0.986797721,0.664567901,0.3658056320000001,0.099969772,0.038412352,0.021455251,0.030779411,-4.768759680808757,1.0103347537908844,6.8557294866648615,0.004193848807820804
235_906824,1.0,0.964945927,0.90525769,0.753194507,0.535215735,0.480076252,0.08421513800000001,0.052009342,0.039055347,0.024854656,-2.409043767888976,0.9746409633982434,3.5376921861146116,-0.10280675015740934
235_910930,1.0,1.0026233,1.033884454,1.011543365,0.884772943,0.377015943,0.198015508,0.056214221,0.07991617200000001,0.040161288,-6.476288549810758,1.0172628214082418,10.031709715063776,0.06304108046832313
235_1240196,1.0,1.03175862,1.019984974,0.971518616,0.855521382,0.5610225560000001,0.32649807,0.175993027,0.038156697,0.025808272,-2.9015757453420012,1.019423460825623,5.5183441431749785,-0.036821966138751085
235_1331038,1.0,0.997002462,0.8832187029999999,0.484126607,0.014803566,0.019441827,0.012188445,0.01406847,0.012149414,0.015941989,-11.700680829631159,0.9659408175323436,10.603971030657931,0.007980848019889448
235_909742,1.0,0.981292165,0.992100677,0.938237644,0.897778524,0.68198854,0.301078244,0.052476805,0.015462668,0.005679028000000001,-4.408317176863116,0.9751848144293565,8.933208687528492,-0.021364280474648424
235_1298167,1.0,0.998484916,1.027673268,0.97213819,0.91046047,0.796600995,0.661548155,0.136944699,0.068989022,0.058967714,-4.4921900452232,0.9685211454427078,12.114601926049303,0.021091253677341732
235_1298531,1.0,1.027383328,0.924822112,0.899864529,0.6973525859999999,0.590662462,0.330460542,0.006291007,0.005009133,0.046793962,-2.5196234255933017,0.9787266426412892,4.799850948040236,-0.10610483062164554
235_1297446,1.0,0.981495014,0.963808792,0.926377849,0.796018098,0.807678388,0.487637709,0.307648308,0.01118382,0.009652863,-1.7163939212458559,0.963421458325036,5.371223955736648,-0.2107057750410337
235_1330950,1.0,0.982241205,0.8313231590000001,0.638421365,0.327532036,0.145590152,0.008203485,0.014865301,0.006458394,0.004999535,-3.8939320547746727,0.980446024127228,4.059221871054232,-0.03929345035704447
235_906817,1.0,1.005677614,1.041766514,0.851797212,0.859392742,0.849821189,0.568325276,0.280592737,0.16116182199999998,0.128604205,-3.226708881081594,0.9618635794682994,8.370811513283073,0.08212657377349411
235_924239,1.0,0.983192877,0.989555098,0.932876299,0.866974965,0.592369963,0.25784465100000004,0.072899988,0.051088576,0.002796097,-4.071556312508596,0.9799662331433056,7.6077088357013025,-0.009551776344811962
235_906872,1.0,1.019182374,0.963830372,0.87410401,0.810617395,0.548371882,0.549142047,0.416721458,0.031836456,0.022931678,0.7975560178496629,1.01435820139687,2.182223858792106,-2.3128401746303284
235_908444,1.0,0.973638154,1.004198284,0.942848638,0.8798353059999999,0.746257782,0.547481449,0.138506073,0.060145247,0.014968636,-2.8588008387385493,0.9716743886223764,7.271796717656048,-0.06480811646947643
235_1295740,1.0,0.998023574,0.981814145,0.888784178,0.8195079670000001,0.718479229,0.253017139,0.00925398,0.008796748,0.007737308,-5.260304914377206,0.9485242228176304,10.66822156791716,-0.019452611833639947
346_906793,1.0,0.975331612,0.615656933,0.153576654,0.012396491,0.025080173,0.024886743,0.031628733,0.026020744,0.0653313,-8.737696872336496,0.9918578262086164,6.111413688810668,0.027833490093062102
346_949177,1.0,1.012356859,0.5901417870000001,0.59918794,0.33569412,0.266549101,0.17323099100000006,0.12525618300000002,0.134337973,0.14736233199999998,-2.58205178274484,1.0296109180356583,2.1956460274188,0.04580297568350228
346_1240149,1.0,1.005659382,0.957218172,0.939739574,0.407571017,0.094775674,0.038021901,0.05938682,0.036002814,0.027846322000000003,-9.567833243426113,0.989331393226034,11.246698928319368,0.03995114774157908
346_687455,1.0,1.047221664,0.966691254,0.882291048,0.8257319670000001,0.100664847,0.016219763999999998,0.01839113,0.016416533,0.018083894,-12.85302390902594,0.9746425206212629,17.921971582852816,0.016071382735611005
346_924104,1.0,1.038217696,1.113481562,0.849934582,0.226828714,0.175011878,0.18080726,0.211803336,0.174651675,0.129577233,-14.07492319441458,1.0506486830948067,13.921920756900699,0.17414320434856
346_906693,1.0,0.964419065,0.832792579,0.471890358,0.133636884,0.046426455,0.023207444,0.018243692,0.013083912,0.010654812,-5.894858860647607,0.9777840633617298,5.209035537469014,0.0019214544649102667
346_1298134,1.0,0.971301238,0.960152612,0.91322968,0.906879224,0.7938620909999999,0.283757329,0.121550926,0.073642025,0.042513871,-6.543651139501076,0.9538409252927365,13.580702166824135,0.061693839257305275
346_1331033,1.0,0.952320552,0.7572289170000001,0.4029867,0.039062168,0.007038261999999998,0.0057385380000000005,0.001287477,0.00383659,-0.0006971639999999999,-6.029648177453227,0.9715108305343754,5.006439419595202,-0.017439298073158756
346_910930,1.0,1.037223499,0.910493411,0.036610431,0.024524918,0.048122811,0.033960208,0.054909259,0.009423206,0.003719496,-23.794546667065138,1.0186113649519053,17.215096112709304,0.0291098157295295
346_905959,1.0,0.957936186,0.851548436,0.401668389,0.34977333,0.280798788,0.309486023,0.241519432,0.229258912,0.188691299,-7.7443919318052865,0.9851841105943168,6.0424076586203155,0.2528928295892362
346_909729,1.0,0.969364789,0.947853578,0.720033948,0.232727306,0.15733906,0.106834216,0.089973267,0.07809619799999999,0.06759920700000001,-8.127563199106012,0.9782397204713852,8.172456985340517,0.08889968406926875
346_1240145,1.0,0.990315111,1.151902608,0.795748289,0.456376136,0.032866772999999995,0.0196608,0.005783336,0.012322735,0.007716414,-6.2413256399570125,1.0387701657601205,7.117779594955086,-0.011338284516132176
346_906818,1.0,1.035161865,1.002559555,1.016663983,0.978903514,0.813927636,0.438889299,0.222465738,0.14619558800000002,0.14701562599999998,-4.724442429858086,1.012498709288448,10.119738118906882,0.13116326909388082
346_688011,1.0,1.005887441,0.99939263,0.7617610109999999,0.19489257,0.262506022,0.26589526,0.197172938,0.175632858,0.187078904,-112.26982081665537,1.0017600236666666,102.94375555526385,0.2138630919999588
346_907313,1.0,1.031884969,0.8321568159999999,0.525461639,0.088119411,0.113220292,0.046426871,0.062647411,0.087626353,0.059625444000000014,-6.6091559231967425,0.9975263090065778,5.785842761063456,0.05244515586329467
346_1240121,1.0,1.028025317,1.086450565,1.128315645,0.787427495,0.115479478,0.021135201,0.014308104,0.010600203999999998,0.007918178,-11.045062603917373,1.0612244128407102,14.927745040585751,0.012448737428538708
346_908452,1.0,1.01808802,1.020090902,0.879674713,0.272015141,0.092927319,0.044311197,0.05147123,0.080934887,0.057871441,-9.855180166220476,1.0134308064741997,10.620345058307944,0.0593812902122537
346_910926,1.0,0.998552227,1.014367989,0.793668212,0.25294320800000003,0.150828367,0.114066422,0.098568406,0.09527288,0.064715164,-9.04967694760449,1.006769571607438,9.302192582127928,0.09699751536297116
346_907290,1.0,0.964142481,0.809892682,0.566013988,0.17457988,0.093747407,0.385154007,0.019993131,0.01820573,0.034832352000000004,-4.5372350847954666,0.9859163962266756,4.0686980721738575,0.06066537632429821
272_910948,1.0,0.970528436,0.930580221,0.945174409,0.8708194359999999,0.7388575070000001,0.398652195,0.217097682,0.129311855,0.08245676099999999,-3.51138806781159,0.9595898714694636,7.6195225841688865,0.06109456329420275
272_908457,1.0,1.002437872,1.098288498,1.006881683,0.968950322,0.72868325,0.608619033,0.218876151,0.168938738,0.149525719,-2.8333380819797065,1.0279045580093873,6.666733211133318,0.0657992511392186
272_905945,1.0,0.953447619,0.95274949,0.83937343,0.6676338310000001,0.325738848,0.193609983,0.093028469,0.100060771,0.06347347,-4.102355386978205,0.9660379478350416,5.746858682756478,0.051400322999031724
272_1480362,1.0,1.027591432,0.999382832,0.904173018,0.8160616540000001,0.762004334,0.551792674,0.302354334,0.119649533,0.07372085,-1.1074022428757455,0.9961760193542692,4.012088803434263,-0.27747408933716605
