DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,DF,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,param_1,param_2,param_3,param_4,ARID1A_mut,ARID2_mut,BRAF_mut,CDKN2A_mut,EZH2_mut,MECOM_mut,NF1_mut,NRAS_mut,PLCB1_mut,PTEN_mut,TP53_mut,loss.cnaSKCM3,loss.cnaSKCM4..BNC2.CDKN2A.JAK2.PSIP1.,loss.cnaSKCM5..PAX5.,loss.cnaSKCM9,gain.cnaSKCM12..KRAS.,gain.cnaSKCM21..FOXP1.MITF.,loss.cnaSKCM22,loss.cnaSKCM23,loss.cnaSKCM24..loss.cnaSKCM25,loss.cnaSKCM26,loss.cnaSKCM27..CASP1.,loss.cnaSKCM28,loss.cnaSKCM30
1371,77677_1371_910932_0,910932,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.900016501,0.918462129,0.870221174,0.965502667,0.791136605,1.034113945,0.845467,-63.8527098,-0.251937406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1371,80683_1371_907058_1,907058,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.950142626,0.994611469,1,0.970530297,0.835260959,0.781032486,6.625695974,-81.42070596,0.835260975,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1371,73520_1371_907067_0,907067,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.976944752,0.720363594,0.530308664,0.346087034,0.593447043,1.350962096,-6.377117117,0.287883154,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1371,77540_1371_1298144_0,1298144,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.827921159,0.642011495,0.594339209,0.524781402,0.283709635,1.978906129,-7.23135889,0.539700195,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1371,58160_1371_907169_0,907169,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,0.940532388,0.842656556,0.631121402,1.021617594,1.156814352,-5.261441,0.143377639,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1371,75849_1371_1240153_0,1240153,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.916416956,0.548118436,0.134386488,0.085847354,0.097846673,0.32504876,1.090331965,-11.68202416,0.084401731,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
1371,80341_1371_907171_0,907171,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.950802055,0.971096614,0.997632832,0.760310247,0.514682426,0.769700455,2.149610857,-80.86148648,0.514682404,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,77818_1371_907172_0,907172,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.885606867,0.964631712,0.733579794,0.540718359,0.763100644,2.37055942,-70.50290467,0.540718319,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1371,77452_1371_1298160_0,1298160,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.906455879,0.712690125,0.460204142,0.366462928,0.333109387,0.292901473,1.344160112,-6.394747054,0.321097366,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1371,58909_1371_905974_0,905974,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.983533964,0.965570457,1,0.776662488,0.643162274,0.759562723,2.906014889,-83.59565985,0.643162248,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
